filter_1st,data_1st
12.305893,12.242936
12.336729,12.358415
12.337506,12.267137
12.394453,12.120731
12.451735,12.131486
12.633261,12.421592
12.361189,12.266682
12.336503,12.158449
12.292650,12.212251
12.471303,12.513102
12.434782,12.313404
12.467688,12.321718
12.318997,12.146862
12.398473,12.377290
12.445406,12.109825
12.318366,12.130646
12.316151,12.396885
12.395609,12.309397
12.470351,12.130830
12.481835,12.154048
