filter_1st,data_1st
32.742113,17.219016
20.796703,17.276352
30.330916,17.533423
29.805785,17.022018
35.920375,17.511798
18.502884,17.555611
28.076615,17.400340
19.457002,17.305676
21.898880,17.256200
18.587115,17.588421
21.866137,17.036970
24.848820,17.152296
20.622456,17.376658
18.504974,17.069179
32.284671,17.021156
29.656467,17.499985
21.249432,17.035375
33.344615,17.353086
33.706360,17.394481
30.545615,17.172600
