num_threads total_fips heads elapsed
1 1000000000 500000141 10325
2 1000000000 500011166 5182
4 1000000000 499993933 2613
8 1000000000 499999624 1587
16 1000000000 499970490 836
32 1000000000 500006082 894
1 1000000000 500012280 10326
2 1000000000 500005112 5191
4 1000000000 499984908 2612
8 1000000000 500007027 1567
16 1000000000 499986336 820
32 1000000000 500034621 888
1 1000000000 500006506 10324
2 1000000000 499990134 5189
4 1000000000 500013000 2612
8 1000000000 500015815 1585
16 1000000000 500023086 838
32 1000000000 499975734 888
1 1000000000 499984782 10324
2 1000000000 500019399 5196
4 1000000000 499983574 2608
8 1000000000 499975090 1597
16 1000000000 499992252 869
32 1000000000 499967625 869
1 1000000000 500015784 10325
2 1000000000 499984224 5188
4 1000000000 500012783 2600
8 1000000000 500000046 1329
16 1000000000 499994777 865
32 1000000000 500041739 900
1 1000000000 499995425 10326
2 1000000000 499986595 5194
4 1000000000 499987107 2605
8 1000000000 500005154 1578
16 1000000000 499987098 849
32 1000000000 500012460 912
1 1000000000 499999500 10325
2 1000000000 499999428 5195
4 1000000000 500007321 2612
8 1000000000 499998831 1586
16 1000000000 500001964 855
32 1000000000 500016487 857
1 1000000000 499992423 10326
2 1000000000 500004780 6105
4 1000000000 499984427 2610
8 1000000000 500001885 1586
16 1000000000 499998121 890
32 1000000000 499999555 887
1 1000000000 499974735 10329
2 1000000000 499988840 5196
4 1000000000 499984544 2977
8 1000000000 500040401 1588
16 1000000000 499976510 845
32 1000000000 500006083 884
1 1000000000 500014717 10328
2 1000000000 499987464 5195
4 1000000000 500001123 2602
8 1000000000 499998009 1581
16 1000000000 499994901 862
32 1000000000 499995723 891
1 1000000000 500008089 10324
2 1000000000 499986458 5669
4 1000000000 499972004 2597
8 1000000000 499990765 1334
16 1000000000 499993744 841
32 1000000000 500010040 870
1 1000000000 500016572 10324
2 1000000000 500009833 5790
4 1000000000 500000849 2605
8 1000000000 500002849 1329
16 1000000000 500020701 822
32 1000000000 499996187 910
1 1000000000 499989007 10325
2 1000000000 499995573 5193
4 1000000000 500007165 3144
8 1000000000 500005315 1552
16 1000000000 500000338 834
32 1000000000 499986484 883
1 1000000000 499989956 10326
2 1000000000 500019545 5197
4 1000000000 499976335 2613
8 1000000000 500029840 1593
16 1000000000 499998134 893
32 1000000000 499998710 928
1 1000000000 499971368 10324
2 1000000000 500003151 5191
4 1000000000 500008544 2613
8 1000000000 500008072 1318
16 1000000000 500018107 899
32 1000000000 500002133 885
1 1000000000 499974129 10328
2 1000000000 499971348 5195
4 1000000000 500028447 2606
8 1000000000 499999360 1597
16 1000000000 500031426 848
32 1000000000 500013236 875
1 1000000000 500001839 10325
2 1000000000 500019138 5194
4 1000000000 500005459 2596
8 1000000000 499978473 1579
16 1000000000 499994179 842
32 1000000000 500005817 883
1 1000000000 499986497 10323
2 1000000000 500024448 5601
4 1000000000 499994943 3087
8 1000000000 499994569 1585
16 1000000000 499996699 847
32 1000000000 500009915 879
1 1000000000 500012292 10326
2 1000000000 499988890 5191
4 1000000000 499993194 2613
8 1000000000 499989144 1305
16 1000000000 499999494 828
32 1000000000 500004263 874
1 1000000000 500017777 10325
2 1000000000 500012361 5190
4 1000000000 499995893 2612
8 1000000000 499990630 1584
16 1000000000 499984136 842
32 1000000000 499989277 908
